Title,Domestic,Theaters,Opening,Mult,Release,Studio,Year,tconst,isAdult,runtimeMinutes,genres
Barbie,"$636,238,421","4,337","$162,022,044",25.5%,Jul 21,"Warner Bros.

",2023,tt0118684,0,\N,\N
The Super Mario Bros. Movie,"$574,934,330","4,371","$146,361,865",25.5%,Apr 5,"Universal Pictures

",2023,tt6718170,0,92,"Adventure,Animation,Comedy"
Spider-Man: Across the Spider-Verse,"$381,311,319","4,332","$120,663,589",31.6%,Jun 2,"Columbia Pictures

",2023,tt9362722,0,140,"Action,Adventure,Animation"
Guardians of the Galaxy Vol. 3,"$358,995,815","4,450","$118,414,021",33%,May 5,"Walt Disney Studios Motion Pictures

",2023,tt6791350,0,150,"Action,Adventure,Comedy"
Oppenheimer,"$328,456,370","3,761","$82,455,420",25.1%,Jul 21,"Universal Pictures

",2023,tt15398776,0,180,"Biography,Drama,History"
The Little Mermaid,"$298,172,056","4,320","$95,578,040",32.1%,May 26,"Walt Disney Studios Motion Pictures

",2023,tt0097757,0,83,"Adventure,Animation,Family"
Ant-Man and the Wasp: Quantumania,"$214,504,909","4,345","$106,109,650",49.5%,Feb 17,"Walt Disney Studios Motion Pictures

",2023,tt10954600,0,124,"Action,Adventure,Comedy"
Wonka,"$196,053,295","4,213","$39,005,800",19.9%,Dec 15,"Warner Bros.

",2023,tt6166392,0,116,"Adventure,Comedy,Family"
John Wick: Chapter 4,"$187,131,806","3,855","$73,817,950",39.4%,Mar 24,"Lions Gate Films

",2023,tt10366206,0,169,"Action,Crime,Thriller"
Sound of Freedom,"$184,178,046","3,411","$19,680,879",10.7%,Jul 4,"Angel Studios

",2023,tt7599146,0,131,"Biography,Crime,Drama"
Taylor Swift: The Eras Tour,"$180,756,269","3,855","$93,224,755",51.6%,Oct 13,-,2023,tt28814949,0,169,"Documentary,Music"
Indiana Jones and the Dial of Destiny,"$174,480,468","4,600","$60,368,101",34.6%,Jun 30,"Walt Disney Studios Motion Pictures

",2023,tt1462764,0,154,"Action,Adventure,Sci-Fi"
Mission: Impossible - Dead Reckoning Part One,"$172,135,383","4,327","$54,688,347",31.8%,Jul 12,"Paramount Pictures

",2023,tt9603212,0,163,"Action,Adventure,Thriller"
The Hunger Games: The Ballad of Songbirds & Snakes,"$166,337,476","3,776","$44,607,143",26.8%,Nov 17,"Lions Gate Films

",2023,tt10545296,0,157,"Action,Adventure,Drama"
Transformers: Rise of the Beasts,"$157,066,392","3,680","$61,045,464",38.9%,Jun 9,"Paramount Pictures

",2023,tt5090568,0,127,"Action,Adventure,Sci-Fi"
Creed III,"$156,248,615","4,007","$58,370,007",37.4%,Mar 3,"United Artists Releasing

",2023,tt11145118,0,116,"Drama,Sport"
Elemental,"$154,426,697","4,035","$29,602,429",19.2%,Jun 16,"Walt Disney Studios Motion Pictures

",2023,tt15789038,0,101,"Adventure,Animation,Comedy"
Fast X,"$146,126,015","4,088","$67,017,410",45.9%,May 19,"Universal Pictures

",2023,tt5433140,0,141,"Action,Adventure,Crime"
Five Nights at Freddy's,"$137,275,620","3,789","$80,001,720",58.3%,Oct 27,"Universal Pictures International (UPI)

",2023,tt4589218,0,109,"Horror,Mystery,Thriller"
Aquaman and the Lost Kingdom,"$118,618,301","3,787","$27,686,211",23.3%,Dec 22,"Warner Bros.

",2023,tt9663764,0,124,"Action,Adventure,Fantasy"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586","3,950","$28,007,544",23.6%,Aug 2,"Paramount Pictures

",2023,tt8589698,0,99,"Action,Adventure,Animation"
Scream VI,"$108,161,389","3,676","$44,447,270",41.1%,Mar 10,"Paramount Pictures

",2023,tt17663992,0,122,"Horror,Mystery,Thriller"
The Flash,"$108,133,313","4,256","$55,043,679",50.9%,Jun 16,"Warner Bros.

",2023,tt0439572,0,144,"Action,Adventure,Fantasy"
Trolls Band Together,"$102,292,250","3,893","$30,002,525",29.3%,Nov 17,"Universal Pictures

",2023,tt14362112,0,91,"Adventure,Animation,Comedy"
Migration,"$101,843,030","3,839","$12,453,275",12.2%,Dec 22,"Universal Pictures

",2023,tt5144576,0,82,Documentary
M3GAN,"$95,159,005","3,628","$30,429,860",32%,Jan 6,"Universal Pictures

",2023,tt8760708,0,102,"Horror,Sci-Fi,Thriller"
Dungeons & Dragons: Honor Among Thieves,"$93,277,026","3,856","$37,205,784",39.9%,Mar 31,"Paramount Pictures

",2023,tt2906216,0,134,"Action,Adventure,Comedy"
The Equalizer 3,"$92,373,751","3,965","$34,604,229",37.5%,Sep 1,"Columbia Pictures

",2023,tt17024450,0,109,"Action,Crime,Thriller"
The Nun II,"$86,267,073","3,743","$32,603,336",37.8%,Sep 8,"Warner Bros.

",2023,tt10160976,0,110,"Horror,Mystery,Thriller"
The Marvels,"$84,500,223","4,030","$46,110,859",54.6%,Nov 10,"Walt Disney Studios Motion Pictures

",2023,tt10676048,0,105,"Action,Adventure,Fantasy"
Meg 2: The Trench,"$82,600,317","3,604","$30,002,735",36.3%,Aug 4,"Warner Bros.

",2023,tt9224104,0,116,"Action,Adventure,Horror"
Insidious: The Red Door,"$82,156,962","3,188","$33,013,036",40.2%,Jul 7,"Screen Gems

",2023,tt13405778,0,107,"Horror,Mystery,Thriller"
Blue Beetle,"$72,488,072","3,871","$25,030,225",34.5%,Aug 18,"Warner Bros.

",2023,tt9362930,0,127,"Action,Adventure,Sci-Fi"
Anyone But You,"$72,378,704","3,055","$6,000,344",8.3%,Dec 22,"Columbia Pictures

",2023,tt26047818,0,103,"Comedy,Romance"
Killers of the Flower Moon,"$67,702,291","3,786","$23,253,655",34.3%,Oct 20,"Paramount Pictures

",2023,tt5537002,0,206,"Crime,Drama,History"
Haunted Mansion,"$67,653,287","3,740","$24,082,475",35.6%,Jul 28,"Walt Disney Studios Motion Pictures

",2023,tt0256071,0,90,Horror
Evil Dead Rise,"$67,233,054","3,417","$24,504,315",36.4%,Apr 21,"Warner Bros.

",2023,tt13345606,0,96,Horror
The Exorcist: Believer,"$65,537,395","3,684","$26,497,600",40.4%,Oct 6,"Universal Pictures

",2023,tt12921446,0,111,Horror
PAW Patrol: The Mighty Movie,"$65,231,360","4,027","$22,764,354",34.9%,Sep 29,"Paramount Pictures

",2023,tt15837338,0,88,"Action,Adventure,Animation"
Cocaine Bear,"$64,670,240","3,571","$23,260,790",36%,Feb 24,"Universal Pictures

",2023,tt14209916,0,95,"Comedy,Thriller"
Wish,"$63,535,782","3,900","$19,698,228",31%,Nov 22,"Walt Disney Studios Motion Pictures

",2023,tt0495774,0,\N,Comedy
Napoleon,"$61,482,865","3,500","$20,638,887",33.6%,Nov 22,"Columbia Pictures

",2023,tt0113932,0,81,"Adventure,Family"
The Color Purple,"$60,118,081","3,218","$11,737,072",19.5%,Dec 25,"Warner Bros.

",2023,tt1200263,0,141,"Drama,Musical"
Shazam! Fury of the Gods,"$57,638,006","4,071","$30,111,158",52.2%,Mar 17,"Warner Bros.

",2023,tt10151854,0,130,"Action,Adventure,Comedy"
Godzilla Minus One,"$56,116,261","2,622","$11,419,975",20.4%,Dec 1,-,2023,tt23289160,0,124,"Action,Adventure,Drama"
Saw X,"$53,607,898","3,262","$18,309,301",34.2%,Sep 29,"Lions Gate Films

",2023,tt21807222,0,118,"Horror,Mystery,Thriller"
Air,"$52,460,106","3,507","$14,456,279",27.6%,Apr 5,-,2023,tt12751926,0,\N,"Action,Adventure,Crime"
Jesus Revolution,"$52,102,987","2,575","$15,882,067",30.5%,Feb 24,"Lions Gate Films

",2023,tt10098448,0,120,Drama
No Hard Feelings,"$50,452,282","3,208","$15,002,770",29.7%,Jun 23,"Sony Pictures Releasing

",2023,tt13120896,0,70,Documentary
Talk to Me,"$48,299,436","2,379","$10,431,720",21.6%,Jul 28,"A24

",2023,tt0117829,0,90,"Comedy,Romance"
The Boys in the Boat,"$47,973,844","2,687","$8,400,548",17.5%,Dec 25,-,2023,tt1856080,0,123,"Biography,Drama,Sport"
Gran Turismo,"$44,428,554","3,856","$17,410,552",39.2%,Aug 25,"Sony Pictures Releasing

",2023,tt4495098,0,134,"Action,Adventure,Drama"
The Boy and the Heron,"$44,213,946","2,325","$13,011,722",29.4%,Dec 8,"GKIDS

",2023,tt6587046,0,124,"Adventure,Animation,Drama"
The Boogeyman,"$43,244,282","3,205","$12,356,486",28.6%,Jun 2,"Walt Disney Studios Motion Pictures

",2023,tt3427252,0,98,"Horror,Mystery,Thriller"
A Haunting in Venice,"$42,471,412","3,305","$14,279,529",33.6%,Sep 15,"Walt Disney Studios Motion Pictures

",2023,tt22687790,0,103,"Crime,Drama,Horror"
The Creator,"$40,774,679","3,680","$14,079,512",34.5%,Sep 29,"Walt Disney Studios Motion Pictures

",2023,tt0203427,0,90,Comedy
80 for Brady,"$39,330,588","3,939","$12,701,640",32.3%,Feb 3,"Paramount Pictures

",2023,tt18079362,0,98,"Biography,Comedy,Drama"
Knock at the Cabin,"$35,397,980","3,657","$14,127,170",39.9%,Feb 3,"Universal Pictures

",2023,tt15679400,0,100,"Horror,Mystery,Thriller"
Renaissance: A Film by Beyoncé,"$33,889,684","2,542","$21,801,216",64.3%,Dec 1,-,2023,tt29354040,0,169,"Documentary,Music"
The Iron Claw,"$33,801,616","2,794","$4,868,370",14.4%,Dec 22,"A24

",2023,tt21064584,0,132,"Biography,Drama,Sport"
Missing,"$32,502,025","3,025","$9,154,695",28.2%,Jan 20,"Sony Pictures Releasing

",2023,tt0896815,0,118,"Drama,Fantasy,Horror"
Plane,"$32,111,181","3,060","$10,265,326",32%,Jan 13,"Lions Gate Films

",2023,tt5884796,0,107,"Action,Adventure,Thriller"
65,"$32,062,904","3,405","$12,328,361",38.5%,Mar 10,"Sony Pictures Releasing

",2023,tt12261776,0,93,"Action,Adventure,Drama"
Thanksgiving,"$31,908,884","3,204","$10,306,272",32.3%,Nov 17,"TriStar Pictures

",2023,tt10325776,0,\N,\N
My Big Fat Greek Wedding 3,"$28,496,030","3,678","$10,028,675",35.2%,Sep 8,"Focus Features

",2023,tt21103300,0,92,"Comedy,Drama,Romance"
Asteroid City,"$28,153,025","1,901","$853,382",3%,Jun 16,"Focus Features

",2023,tt14230388,0,105,"Comedy,Drama,Romance"
Magic Mike's Last Dance,"$26,005,156","3,034","$8,305,317",31.9%,Feb 10,"Warner Bros.

",2023,tt16280138,0,112,"Comedy,Drama"
Poor Things,"$25,732,904","2,300","$661,230",2.6%,Dec 8,"Searchlight Pictures

",2023,tt14230458,0,141,"Comedy,Drama,Romance"
Strays,"$23,988,885","3,232","$8,247,810",34.4%,Aug 18,"Universal Pictures

",2023,tt0149171,0,105,"Crime,Drama"
Priscilla,"$20,864,910","2,361","$132,139",0.6%,Oct 27,"A24

",2023,tt22041854,0,113,"Biography,Drama,Music"
"Are You There God? It's Me, Margaret.","$20,372,406","3,343","$6,739,037",33.1%,Apr 28,"Lions Gate Films

",2023,tt9185206,0,106,"Comedy,Drama,Family"
The Pope's Exorcist,"$20,009,380","3,178","$9,006,368",45%,Apr 14,"Screen Gems

",2023,tt13375076,0,103,"Horror,Thriller"
The Holdovers,"$19,534,405","1,601","$211,093",1.1%,Oct 27,"Focus Features

",2023,tt14849194,0,133,"Comedy,Drama"
Ferrari,"$18,358,586","2,386","$3,921,773",21.4%,Dec 25,"Neon

",2023,tt3758542,0,130,"Biography,Drama,History"
The Blackening,"$17,707,207","1,775","$6,013,131",34%,Jun 16,"Lions Gate Films

",2023,tt11703244,0,97,"Comedy,Horror,Thriller"
Book Club: The Next Chapter,"$17,581,565","3,513","$6,677,580",38%,May 12,"Focus Features

",2023,tt20768712,0,107,Comedy
Pathaan,"$17,487,476",697,"$6,892,182",39.4%,Jan 25,"Yash Raj Films USA Inc.

",2023,tt12844910,0,146,"Action,Adventure,Thriller"
Renfield,"$17,297,895","3,378","$8,026,475",46.4%,Apr 14,"Universal Pictures

",2023,tt11358390,0,93,"Comedy,Fantasy,Horror"
The Blind,"$17,265,487","1,715","$4,341,725",25.1%,Sep 28,"Fathom Events

",2023,tt1299649,0,90,Drama
The Covenant,"$16,938,039","2,631","$6,380,188",37.7%,Apr 21,"Metro-Goldwyn-Mayer (MGM)

",2023,tt0475944,0,97,"Action,Adventure,Fantasy"
Expend4bles,"$16,710,153","3,518","$8,039,021",48.1%,Sep 22,"Lions Gate Films

",2023,tt3291150,0,103,"Action,Adventure,Thriller"
Champions,"$16,397,335","3,039","$5,148,740",31.4%,Mar 10,"Focus Features

",2023,tt0115864,0,99,Action
Ruby Gillman: Teenage Kraken,"$15,753,600","3,408","$5,500,990",34.9%,Jun 30,"DreamWorks

",2023,tt27155038,0,91,"Action,Adventure,Animation"
Jawan,"$15,198,530",826,"$6,124,963",40.3%,Sep 7,"Yash Raj Films USA Inc.

",2023,tt15354916,0,169,"Action,Thriller"
Animal,"$15,004,482",698,"$6,524,534",43.5%,Dec 1,-,2023,tt0408494,0,90,"Action,Crime,Drama"
Dumb Money,"$13,925,356","2,837","$220,947",1.6%,Sep 15,"Sony Pictures Releasing

",2023,tt13957560,0,105,"Biography,Comedy,Drama"
The Last Voyage of the Demeter,"$13,637,180","2,715","$6,504,950",47.7%,Aug 11,"Universal Pictures

",2023,tt1001520,0,118,"Fantasy,Horror"
Joy Ride,"$12,897,789","2,820","$5,806,277",45%,Jul 7,"Lions Gate Films

",2023,tt0206314,0,97,"Action,Mystery,Thriller"
American Fiction,"$12,442,669","1,902","$224,469",1.8%,Dec 15,"Metro-Goldwyn-Mayer (MGM)

",2023,tt23561236,0,117,"Comedy,Drama"
His Only Son,"$12,392,740","1,930","$5,501,070",44.4%,Mar 31,"Angel Studios

",2023,tt8277246,0,106,"Drama,History"
The Shift,"$12,113,907","2,450","$4,300,165",35.5%,Dec 1,"Angel Studios

",2023,tt10405760,0,83,"Drama,Thriller"
About My Father,"$12,089,391","2,464","$4,321,148",35.7%,May 26,"Lions Gate Films

",2023,tt1790626,0,52,Documentary
Bottoms,"$12,036,071","1,265","$461,052",3.8%,Aug 25,"Orion Pictures

",2023,tt17527468,0,91,Comedy
After Death,"$11,478,326","2,730","$5,051,950",44%,Oct 27,"Angel Studios

",2023,tt0094620,0,84,"Action,Horror"
Saltburn,"$11,425,829","1,566","$322,651",2.8%,Nov 17,"Warner Bros.

",2023,tt17351924,0,131,"Comedy,Drama,Thriller"
Suzume,"$10,932,037","2,170","$5,001,705",45.8%,Apr 14,"Crunchyroll

",2023,tt16428256,0,122,"Action,Adventure,Animation"
Past Lives,"$10,923,569",906,"$232,266",2.1%,Jun 2,"A24

",2023,tt13238346,0,105,"Drama,Romance"
The Machine,"$10,458,331","2,409","$5,000,545",47.8%,May 26,"Sony Pictures Releasing

",2023,tt0457076,0,89,"Comedy,Drama,Romance"
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$10,117,806","1,774","$10,117,806",-,Mar 3,"Crunchyroll

",2023,tt26537229,0,110,"Action,Adventure,Animation"
House Party,"$9,002,247","1,400","$3,985,882",44.3%,Jan 13,"Warner Bros.

",2023,tt0099800,0,100,"Comedy,Music,Romance"
Salaar,"$8,929,282",802,"$5,618,511",62.9%,Dec 22,-,2023,tt13927994,0,175,"Action,Crime,Drama"
Radical,"$8,701,989",534,"$2,658,047",30.5%,Nov 3,"Pantelion Films

",2023,tt14570440,0,125,Drama
Beau Is Afraid,"$8,176,562","2,125","$320,396",3.9%,Apr 14,"A24

",2023,tt13521006,0,179,"Comedy,Drama,Horror"
BTS: Yet to Come in Cinemas,"$8,093,270","1,210","$8,022,774",99.1%,Feb 1,"Trafalgar Releasing

",2023,tt24807190,0,104,Music
Silent Night,"$8,012,103","1,873","$3,010,207",37.6%,Dec 1,"Lions Gate Films

",2023,tt0117745,0,83,"Drama,Romance"
The Hill,"$7,665,865","1,703","$2,301,931",30%,Aug 25,"Briarcliff Entertainment

",2023,tt15100894,0,75,\N
Dunki,"$7,460,159",650,"$2,714,469",36.4%,Dec 21,"Yash Raj Films USA Inc.

",2023,tt15428134,0,160,"Comedy,Drama"
Sisu,"$7,265,622","1,006","$3,330,891",45.8%,Apr 28,"Lions Gate Films

",2023,tt11184428,0,55,Documentary
